Question Type,Operand 1,Operand 2,Answer
A,42,24,66
A,12,23,35
A,31,31,62
A,37,48,85
A,42,42,84
A,24,23,47
A,13,35,48
A,28,38,66
A,39,41,80
A,36,46,82
A,10,47,57
A,48,22,70
A,46,41,87
A,41,16,57
A,23,49,72
A,32,21,53
A,39,43,82
A,26,23,49
A,27,28,55
A,24,46,70
A,42,24,66
A,50,38,88
A,11,21,32
A,34,24,58
A,42,48,90
A,41,40,81
A,17,48,65
A,47,16,63
A,35,22,57
A,22,17,39
A,32,16,48
A,23,36,59
A,26,29,55
A,11,23,34
A,14,16,30
A,10,40,50
A,14,41,55
A,26,10,36
A,30,44,74
A,18,25,43
A,23,10,33
A,15,24,39
A,12,43,55
A,28,10,38
A,36,32,68
A,25,30,55
A,42,16,58
A,25,30,55
A,15,32,47
A,39,23,62
S,39,17,22
S,28,11,17
S,50,11,39
S,35,17,18
S,26,13,13
S,22,19,3
S,17,14,3
S,30,13,17
S,41,22,19
S,50,14,36
S,37,23,14
S,43,41,2
S,43,43,0
S,48,47,1
S,42,17,25
S,38,16,22
S,31,18,13
S,43,10,33
S,44,34,10
S,50,18,32
S,18,18,0
S,48,43,5
S,43,13,30
S,44,41,3
S,16,11,5
S,42,23,19
S,43,13,30
S,37,16,21
S,43,17,26
S,39,15,24
S,38,23,15
S,41,22,19
S,35,26,9
S,37,14,23
S,48,29,19
S,42,11,31
S,32,18,14
S,39,12,27
S,48,33,15
S,23,21,2
S,43,28,15
S,19,13,6
S,47,19,28
S,38,11,27
S,38,14,24
S,37,22,15
S,35,15,20
S,27,25,2
S,22,13,9
S,46,43,3
